採樣時間,經度,緯度,一氧化碳,一氧化氮,二氧化氮,氮氧化物,臭氧,懸浮微粒,細懸浮微粒,二氧化硫,甲烷,非甲烷碳氫化合物,總碳氫化合物,風向,風速,溫度,相對濕度,空氣品質指標,空氣品質指標
43276.41667,121.01627,24.766508,0.72,6.6,19,25.5,40.7,26,13,4.3,2.06,0.16,2.22,276,2.4,31.3,69.1,0,45
43276.41667,120.989823,24.778,0.5,2.7,9.9,12.6,41.7,985,896,5.2,0,0,0,285,2.4,31.2,67.9,0,54
43276.41667,121.01372,24.77834,0.73,2.1,9.1,25.5,42.9,29,12,3.4,1.96,0.27,2.23,286.1,0.9,32.5,65.3,0,45
43276.45833,121.01627,24.766508,0.67,5.3,16.6,21.9,51.7,31,20,5,2.01,0.18,2.19,279,3.2,31.4,67.7,0,45
43276.45833,120.989823,24.778,0,0,0,0,0,0,0,0,0,0,0,297,2.9,31.3,65.6,0,52
43276.45833,121.01372,24.77834,0.68,1.4,8,21.9,50.2,31,18,5.1,1.96,0.25,2.21,265.1,1.5,32.3,64.5,0,45
43276.5,121.01627,24.766508,0.56,4.8,9.5,14.3,43.2,29,19,3.6,1.96,0.13,2.09,280,3.5,31.2,68.5,0,50
43276.5,120.989823,24.778,0.42,0.9,4.1,5,0,21,10,5.2,0,0,0,294,2.7,31.3,67.3,0,20
43276.5,121.01372,24.77834,0.64,1.5,5.6,14.3,44.9,30,20,4.4,1.92,0.23,2.15,266.4,1.5,31.6,66,0,50
43276.54167,121.01627,24.766508,0.52,4.1,10.6,14.7,43.9,27,17,3.1,2.02,0.12,2.14,275,2.9,30.5,71.8,0,54
43276.54167,120.989823,24.778,0.42,0.6,4.3,4.8,0,19,9,4.3,0,0,0,282,2.6,30.5,69.5,0,6
43276.54167,121.01372,24.77834,0.61,1.1,5.4,14.7,44.4,27,17,3.4,1.93,0.25,2.18,294.4,1.1,31.3,68.4,0,54
43276.58333,121.01627,24.766508,0.53,4.4,12.2,16.6,30.9,24,15,2.2,2.01,0.14,2.15,272,2,28.9,79.4,0,55
43276.58333,120.989823,24.778,0.38,0.4,6,6.4,38.5,20,9,5.5,0,0,0,281,2.2,28.6,80.7,0,45
43276.58333,121.01372,24.77834,0.91,0.8,6.3,16.6,34.3,54,25,0.9,1.93,0.68,2.61,270.5,1.2,29.4,77.1,0,55
43276.625,121.01627,24.766508,0.55,4.9,9.7,14.5,25.2,22,12,2.1,1.95,0.14,2.09,265,2,28.6,81.5,0,52
43276.625,120.989823,24.778,0.39,0,0,0,32.7,19,5,4.1,0,0,0,280,2.1,28.3,83.8,0,41
43276.625,121.01372,24.77834,0.56,1,5.6,14.5,28.8,50,22,0.4,1.91,0.23,2.14,271,1.2,29,80.6,0,52
43276.66667,121.01627,24.766508,0.63,4.6,9.2,13.8,23.7,18,11,2.3,1.94,0.12,2.06,261,1.6,29.1,78.8,0,50
43276.66667,120.989823,24.778,0.41,0.8,5.2,6,28.5,18,3,3,1.79,0.14,1.92,279,2.1,28.6,80.9,0,36
43276.66667,121.01372,24.77834,0.56,1.4,5.8,13.8,26.2,16,9,0.4,1.86,0.22,2.08,277.8,0.7,29.5,77.4,0,50
43276.70833,121.01627,24.766508,0.73,5,9.6,14.6,22.4,16,11,2.4,1.93,0.16,2.09,265,1.4,30.1,73.7,0,46
43276.70833,120.989823,24.778,0.4,0.9,6,6.9,26.6,16,3,2.3,1.7,0.13,1.83,276,1.7,29.6,75.6,0,27
43276.70833,121.01372,24.77834,0.58,1.4,5.9,14.6,24.2,13,9,0.5,1.85,0.23,2.08,272.8,0.8,30.1,73.6,0,46
43276.75,121.01627,24.766508,0.72,3.7,12.1,15.8,18.8,17,10,2.2,1.94,0.16,2.1,264,1,29.4,78.6,0,41
43276.75,120.989823,24.778,0.43,0.6,6.1,6.7,23.8,17,2,2.3,2.06,0.11,2.17,302,1.4,28.9,81.6,0,19
43276.75,121.01372,24.77834,0.65,0.8,8,15.8,22.5,13,9,0.6,1.91,0.24,2.15,333.4,0.6,29.8,77.9,0,41
43276.79167,121.01627,24.766508,0.68,3.1,9.6,12.6,18.9,18,8,1.6,1.96,0.13,2.09,255,0.9,28.2,85.9,0,37
43276.79167,120.989823,24.778,0.43,0.8,6.5,7.3,25.5,17,3,2,2.05,0.14,2.19,284,1.4,27.9,86.2,0,25
43276.79167,121.01372,24.77834,0.68,0.4,8.2,12.6,21.2,12,12,0.2,1.87,0.24,2.11,275.5,0.3,28.9,82.3,0,37
43276.83333,121.01627,24.766508,0.58,1.3,9.5,10.8,15.8,20,10,1.5,1.95,0.13,2.07,233,0.7,27.4,89,0,37
43276.83333,120.989823,24.778,0.38,0,7.9,7.9,24.3,14,5,2.2,2.06,0.13,2.18,273,1.2,27.7,86.5,0,25
43276.83333,121.01372,24.77834,0.65,0.6,9.3,10.8,19.4,14,13,0.2,1.88,0.27,2.15,292.9,0.1,28.4,84.6,0,37
43276.875,121.01627,24.766508,0.6,1.5,10.2,11.7,10.2,19,10,1.8,1.96,0.12,2.07,195,0.4,27.3,90.4,0,36
43276.875,120.989823,24.778,0.48,0.7,21.9,22.7,18.7,19,8,3,2.1,0.1,2.2,214,0.8,27.8,85.9,0,24
43276.875,121.01372,24.77834,0.73,1,16.5,11.7,11.4,19,13,0.6,1.92,0.26,2.18,152.3,0.2,28.3,85,0,36
43276.91667,121.01627,24.766508,0.62,1.5,9.4,10.9,11.9,20,11,1.7,1.98,0.11,2.08,205,0.3,27.1,91,0,37
43276.91667,120.989823,24.778,0.54,4.1,27.6,31.8,8.8,30,13,3.4,2.08,0.11,2.19,174,0.7,27.7,86.7,0,26
43276.91667,121.01372,24.77834,0.69,1.5,18.4,10.9,12.4,22,18,0.7,1.9,0.25,2.15,179,0.2,28.1,85.4,0,37
43276.95833,121.01627,24.766508,0.62,2.3,9.5,11.8,4.3,22,13,1.5,1.99,0.15,2.14,241,0.3,26.7,92.9,0,38
43276.95833,120.989823,24.778,0.5,4.2,22.2,26.4,9.2,36,15,3.2,2.09,0.13,2.22,174,0.8,27.5,88.8,0,28
43276.95833,121.01372,24.77834,0.69,1.7,22,11.8,8.6,23,20,0.2,1.94,0.23,2.17,159.6,0.1,27.8,88.2,0,38
43277,121.01627,24.766508,0.6,4.4,8,12.4,3.2,24,11,2.5,1.98,0.15,2.13,249,0.3,26.5,94.2,0,37
43277,120.989823,24.778,0.59,5.3,24,29.3,8.2,33,15,2.9,2.12,0.12,2.24,185,0.9,27.1,88.7,0,33
43277,121.01372,24.77834,0.6,2.2,18.4,12.4,8.4,22,19,0.1,1.95,0.24,2.19,185.2,0.2,27.5,88.8,0,37
43277.04167,121.01627,24.766508,0.45,2,5.1,7.1,3.7,26,11,2.7,2.05,0.04,2.1,163,0.3,26,95,0,37
43277.04167,120.989823,24.778,0.5,2.9,23.3,26.1,13.3,26,16,2.7,2.15,0.1,2.24,265,0.5,26.9,85.5,0,37
43277.04167,121.01372,24.77834,0.55,1.3,8.8,7.1,7.9,20,15,1.2,2.02,0.26,2.28,148.6,0.1,26.9,91.2,0,37
43277.08333,121.01627,24.766508,0.47,2.4,9.3,11.7,4.9,31,16,2.7,1.94,0.14,2.08,243,0.4,25.7,95.3,0,39
43277.08333,120.989823,24.778,0.5,8.4,22.9,31.3,6.7,33,17,2.8,2.09,0.13,2.21,175,0.9,26.7,88.8,0,40
43277.08333,121.01372,24.77834,0.81,4.9,31.5,11.7,6.2,30,27,0.1,2.03,0.28,2.31,181.5,0.2,26.7,88.4,0,39
43277.125,121.01627,24.766508,0.41,6.2,4.2,10.4,0.8,34,17,2.6,1.97,0.15,2.12,220,0.7,25.4,96,0,41
43277.125,120.989823,24.778,0.47,1.6,16.7,18.4,16.5,36,14,2.7,2.05,0.13,2.18,266,0.7,26.5,86.9,0,41
43277.125,121.01372,24.77834,0.53,6.2,8.6,10.4,5.1,32,27,1,2.03,0.28,2.31,277.6,0.1,26.3,93.8,0,41
43277.16667,121.01627,24.766508,0.39,5.8,4.7,10.5,1.6,30,11,2.3,2.05,0.11,2.16,236,0.2,25,96.3,0,41
43277.16667,120.989823,24.778,0.58,15.9,20.6,36.5,4,33,15,2.6,2.04,0.12,2.15,165,1,25.9,92,0,42
43277.16667,121.01372,24.77834,0.58,10.1,14,10.5,4.3,25,17,2,1.97,0.27,2.24,230.5,0.1,26,93.5,0,41
43277.20833,121.01627,24.766508,0.4,7.3,6.4,13.7,3.4,29,12,2.4,2.05,0.12,2.17,155,0.2,24.5,96.2,0,42
43277.20833,120.989823,24.778,0.55,9.6,21.1,30.7,4.7,38,17,3.3,1.97,0.15,2.12,157,0.8,25.9,87.2,0,45
43277.20833,121.01372,24.77834,0.56,4.8,10,13.7,6.2,29,16,2,2.02,0.26,2.28,187.9,0.1,25.8,91.2,0,42
43277.25,121.01627,24.766508,0.47,2.8,5.3,8.1,7.6,29,14,2.6,2.03,0.13,2.16,169,0.3,25.4,93.5,0,42
43277.25,120.989823,24.778,0.58,6.3,18.4,24.7,10.7,36,17,3.3,2.01,0.12,2.13,165,1.3,26.6,81.4,0,47
43277.25,121.01372,24.77834,0.62,4.5,16.1,8.1,10,30,15,3.2,1.94,0.24,2.18,169.7,0.2,27,82.2,0,42
43277.29167,121.01627,24.766508,0.55,4.9,8.1,13,15.6,26,15,3.4,2.02,0.13,2.15,192,0.5,28.6,76.3,0,42
43277.29167,120.989823,24.778,0.62,11.8,19.4,31.3,12.3,33,16,4,1.96,0.15,2.12,178,1,28.4,74.6,0,49
43277.29167,121.01372,24.77834,0.65,7,14.6,13,15.7,28,17,3.7,1.92,0.25,2.17,181.7,0.4,29,73,0,42
43277.33333,121.01627,24.766508,0.73,13.7,13.6,27.3,15.2,22,13,5.4,2.05,0.24,2.28,261,1.1,30,69.5,0,43
43277.33333,120.989823,24.778,0.59,5.4,11.3,16.7,19.3,27,13,4.2,1.92,0.14,2.06,274,0.9,30.2,68.9,0,49
43277.33333,121.01372,24.77834,0.57,5.5,8.9,27.3,18.8,23,15,2.6,1.92,0.25,2.17,271.2,0.4,30.5,67.3,0,43
43277.375,121.01627,24.766508,0.55,8.8,14.8,23.6,18.2,22,896,8.7,2.14,0.18,2.32,254,1.3,30.5,68.7,0,44
43277.375,120.989823,24.778,0.55,3.5,9.9,13.5,24.7,19,9,5.4,2.03,0.18,2.21,292,2,30.2,69.8,0,46
43277.375,121.01372,24.77834,0.6,5,12.1,23.6,22,22,14,3.2,1.96,0.31,2.27,296.7,0.3,31.1,66.8,0,44
43277.41667,121.01627,24.766508,0.53,5.7,10.5,16.2,26.8,0,0,5.3,2.06,0.16,2.21,268,1.6,30.7,70.3,0,44
43277.41667,120.989823,24.778,0.43,1.7,6.6,8.3,30.7,17,7,5.1,1.97,0.22,2.19,301,1.8,30.3,70.5,0,41
43277.41667,121.01372,24.77834,0.56,2.3,9,16.2,31.1,26,14,1.9,1.9,0.25,2.15,299.9,0.4,31.4,67.3,0,44
43277.45833,121.01627,24.766508,0.53,4.4,9.8,14.2,40.8,19,3,4.1,0,0,0,272,1.5,31.6,66.9,0,15
43277.45833,120.989823,24.778,0.42,1,5.3,6.3,40.2,18,6,4.6,1.96,0.23,2.19,289,1.6,31.5,65.7,0,36
43277.45833,121.01372,24.77834,0.54,1.2,5.9,14.2,40.3,26,14,1.1,1.91,0.22,2.13,336.5,0.7,32,64.8,0,15
43277.5,121.01627,24.766508,0.48,3.4,7,10.3,47.9,19,6,4.4,1.86,0.06,1.91,272,2.1,31.6,65.1,0,17
43277.5,120.989823,24.778,0.37,0.6,3.7,4.3,38.6,19,8,4,2.02,0.2,2.22,302,2.4,31.4,63.1,0,33
43277.5,121.01372,24.77834,0.53,1,4.9,10.3,41.2,24,14,1,1.93,0.24,2.17,301,1.1,32.5,62.1,0,17
43277.54167,121.01627,24.766508,0.38,4.8,7.5,12.3,0,17,7,3.2,1.78,0.12,1.9,269,2.5,30.5,66.4,0,31
43277.54167,120.989823,24.778,0.38,0.4,3.1,3.5,26.5,14,5,3.1,1.94,0.16,2.1,306,2.2,30.4,66.4,0,30
43277.54167,121.01372,24.77834,0.52,1.9,6.6,12.3,26.7,19,11,2.5,1.9,0.23,2.13,298.4,0.8,31.7,63.3,0,31
43277.58333,121.01627,24.766508,0.43,5.6,8,13.6,22.8,13,5,2.8,1.81,0.13,1.94,272,2.2,30,68.8,0,28
43277.58333,120.989823,24.778,0.39,0.5,3,3.6,26.1,11,3,2.5,1.88,0.11,2,299,2.2,30.1,68.6,0,26
43277.58333,121.01372,24.77834,0.49,1.8,5.1,13.6,24.6,15,9,0.7,1.89,0.24,2.13,301.1,0.8,31.1,64.2,0,28
43277.625,121.01627,24.766508,0,0.7,1.2,1.9,18.4,11,2,0.4,1.98,0.12,2.09,265,1.6,30.6,63.9,0,23
43277.625,120.989823,24.778,0.38,0.5,2.7,3.2,22.1,9,4,2.4,1.92,0.1,2.03,298,1.9,30.6,62.6,0,27
43277.66667,121.01627,24.766508,0.51,3.8,6.2,9.9,17.5,9,0,3.8,1.97,0.07,2.04,242,1,30.4,64.5,0,22
43277.66667,120.989823,24.778,0.42,1.2,5,6.2,21.7,8,3,2.9,1.88,0.11,2,280,1.1,30.6,62.7,0,27
43277.70833,121.01627,24.766508,0.54,1.2,4.6,5.8,19.3,11,0,1.6,1.92,0.1,2.02,218,0.6,30,68.7,0,23
43277.70833,120.989823,24.778,0.48,3.7,20.9,24.6,16.5,13,6,3.1,1.92,0.12,2.04,191,0.9,30,64.8,0,26
43277.70833,121.01372,24.77834,0.54,1.5,7.5,5.8,20.2,12,4,0.3,1.89,0.24,2.13,197.7,0.4,30.4,63.7,0,23
43277.75,121.01627,24.766508,0.54,0.8,5,5.8,17.8,13,3,1.5,1.92,0.11,2.03,214,0.5,29,73.3,0,21
43277.75,120.989823,24.778,0.53,6.3,29.7,36,12.9,20,13,3,1.99,0.12,2.11,187,0.9,29.4,68.2,0,28
43277.75,121.01372,24.77834,0.75,1.5,16.6,5.8,17.4,16,10,0,1.91,0.31,2.22,164.5,0.6,29.6,68.2,0,21
43277.79167,121.01627,24.766508,0.77,3.3,20.8,24,12.2,18,11,2.2,1.9,0.16,2.07,112,0.4,27.7,78.3,0,20
43277.79167,120.989823,24.778,0.71,10.4,49.1,59.4,5.4,30,19,4.2,1.92,0.11,2.04,151,0.6,28.7,71.8,0,46
43277.83333,121.01627,24.766508,0.86,7.2,23.1,30.2,2.5,26,11,2.2,1.93,0.15,2.08,222,0.6,26.7,85.6,0,22
43277.83333,120.989823,24.778,0.69,13.9,40.7,54.6,7.2,37,22,2.9,1.93,0.12,2.06,175,0.8,28.2,76.6,0,39
43277.875,121.01627,24.766508,0.74,4.1,15.5,19.5,4.2,25,7,2,1.96,0.13,2.09,231,0.5,26.7,86.6,0,21
43277.875,120.989823,24.778,0.6,9,33.9,42.9,7.3,34,20,3.2,1.98,0.11,2.1,173,0.7,27.9,77.2,0,46
43277.91667,121.01627,24.766508,0.65,2.2,8.4,10.5,7,21,8,1.5,1.93,0.13,2.06,254,0.3,26.4,85.3,0,24
43277.91667,120.989823,24.778,0.58,8.8,25.5,34.3,5.7,32,18,3.2,1.97,0.12,2.1,174,1.1,27.4,78.3,0,49
43277.95833,121.01627,24.766508,0.55,0.8,4.9,5.8,12,21,8,2,1.93,0.12,2.05,228,0.3,25.9,84.2,0,23
43277.95833,120.989823,24.778,0.61,7.5,26.5,34,6.9,30,18,3.5,1.9,0.13,2.03,166,1,27.1,78.7,0,50
43277.95833,121.01372,24.77834,0.73,12.3,32.4,5.8,5.4,32,22,0.4,1.97,0.3,2.27,189.3,0.1,26.7,82.3,0,23
43278,121.01627,24.766508,0.61,2.3,8.3,10.6,6.3,23,8,2,1.98,0.11,2.1,261,0.4,25.3,87.8,0,22
43278,120.989823,24.778,0.6,9.5,29.2,38.7,7.2,30,20,3.7,1.98,0.1,2.09,171,1,26.7,78.1,0,51
43278,121.01372,24.77834,0.64,12.8,27,10.6,4.3,31,22,2.5,1.96,0.28,2.24,207.3,0.1,26.4,83.5,0,22
43278.04167,121.01627,24.766508,0.52,1.4,7.1,8.5,5.3,25,8,2.3,2.04,0.06,2.1,268,0.4,24.7,90,0,22
43278.04167,120.989823,24.778,0.45,1.9,21.7,23.6,14.1,31,16,2.6,2.13,0.08,2.22,172,0.4,26.3,81.1,0,51
43278.04167,121.01372,24.77834,0.59,6.6,20.4,8.5,5.9,26,18,2.5,2.05,0.25,2.3,194,0.1,25.9,84.7,0,22
43278.08333,121.01627,24.766508,0.49,1,5.8,6.8,8.5,25,9,1.9,1.98,0.12,2.09,236,0.2,24.3,90.6,0,23
43278.08333,120.989823,24.778,0.51,2.2,27.9,30.1,11.1,33,12,2.3,2.03,0.14,2.18,252,0.5,26,82.7,0,50
43278.08333,121.01372,24.77834,0.55,2.5,12.2,6.8,8.8,25,13,2.5,2,0.24,2.24,174.3,0.1,25.3,87.6,0,23
43278.125,121.01627,24.766508,0.53,1.3,5.7,7,5.9,26,9,2,2,0.12,2.11,193,0.3,24.3,91.2,0,25
43278.125,120.989823,24.778,0.51,1,26.7,27.7,10,36,13,3.2,2.12,0.13,2.26,254,0.6,26.2,83.7,0,49
43278.125,121.01372,24.77834,0.51,0.9,8.2,7,9.3,24,11,2.6,2,0.26,2.26,173,0.1,25.5,86.6,0,25
43278.16667,121.01627,24.766508,0.55,2.2,10.6,12.8,5.6,27,11,2.1,1.97,0.14,2.11,157,0.2,24.4,90,0,28
43278.16667,120.989823,24.778,0.42,6.6,25.2,31.8,5.2,40,19,3.2,2.04,0.13,2.17,166,1.2,25.6,83.5,0,50
43278.16667,121.01372,24.77834,0.63,6.9,20.8,12.8,5.3,30,15,3.5,2.03,0.3,2.33,166.1,0.2,25.4,87.3,0,28
43278.20833,121.01627,24.766508,0.59,4.2,13.1,17.4,3.6,30,13,2.6,1.99,0.17,2.16,219,0.3,24.3,89.6,0,31
43278.20833,120.989823,24.778,0.42,8.8,27.3,36.2,5.3,45,24,3.6,2.01,0.09,2.1,167,1,26,78.9,0,55
43278.20833,121.01372,24.77834,0.7,10.1,26,17.4,5.1,35,23,3.8,2.04,0.33,2.37,167.8,0.1,25.3,87.1,0,31
43278.25,121.01627,24.766508,0.68,14.3,9.1,23.4,3.6,31,13,2.4,2.01,0.14,2.14,247,0.5,25.5,86.5,0,34
43278.25,120.989823,24.778,0.46,11.5,26.5,38,9.7,36,21,3.8,2.05,0.12,2.17,165,1,27.1,72,0,59
43278.25,121.01372,24.77834,0.66,20.5,21.8,23.4,6.3,34,23,3.3,1.99,0.31,2.3,224.8,0.1,27.1,76.9,0,34
43278.29167,121.01627,24.766508,0.8,10.1,7.7,17.7,9.5,28,11,2.8,1.92,0.17,2.08,244,0.9,28.8,69,0,35
43278.29167,120.989823,24.778,0.46,13.7,17.5,31.3,9.6,27,14,4.1,2.03,0.1,2.14,184,1,28.9,67.9,0,58
43278.29167,121.01372,24.77834,0.6,8.1,11.1,17.7,12.6,27,16,3.5,1.92,0.25,2.17,184.9,0.2,29.3,66.1,0,35
43278.33333,121.01627,24.766508,0.96,19.4,12.7,32,10,20,10,4.1,1.93,0.2,2.13,249,1.5,30.2,63.7,0,35
43278.33333,120.989823,24.778,0.48,8.1,14.8,22.9,15.4,25,13,5.3,2,0.12,2.13,218,1.3,30.2,63.4,0,55
43278.33333,121.01372,24.77834,0.6,7.7,9.7,32,14.3,18,11,3.8,1.9,0.27,2.17,221,0.4,30.7,61.6,0,35
43278.375,121.01627,24.766508,0.73,12.9,14.5,27.3,15.9,14,5,4.5,1.96,0.11,2.07,266,1.6,31.4,59.3,0,31
43278.375,120.989823,24.778,0.4,4.7,8.6,13.3,24.9,18,10,4.6,2.05,0.11,2.17,284,1.9,31.2,59.6,0,50
43278.375,121.01372,24.77834,0.56,5.7,9.9,27.3,21.4,15,9,3.3,1.91,0.28,2.19,280.9,0.6,32,57.4,0,31
43278.41667,121.01627,24.766508,0.71,10.2,13.8,24,19.4,13,3,3.6,1.94,0.16,2.1,279,2.7,31.3,60,0,26
43278.41667,120.989823,24.778,0.32,1.9,4.2,6,25.6,10,3,3.5,2.01,0.12,2.13,284,2.7,31.3,57.6,0,41
43278.41667,121.01372,24.77834,0.48,2.5,5.6,24,26.5,12,7,0.9,1.94,0.24,2.18,274.8,1.1,32.3,56.9,0,26
43278.45833,121.01627,24.766508,0.61,5.6,8.3,13.9,21.2,9,3,2.4,1.92,0.13,2.05,275,2.4,32,55.6,0,22
43278.45833,120.989823,24.778,0.32,1.7,3.1,4.8,23.4,2,0,2.8,2.03,0.11,2.14,287,2.7,31.7,52.9,0,33
43278.45833,121.01372,24.77834,0.46,1.7,3.2,13.9,27.6,12,5,2,1.94,0.23,2.17,302,1.1,33,52.1,0,22
43278.5,121.01627,24.766508,0.55,6,8.9,14.9,21.6,7,3,2.3,1.92,0.11,2.03,280,2.9,32.2,54.3,0,19
43278.5,120.989823,24.778,0.29,1,1.9,2.8,25.2,2,0,2.6,2.04,0.08,2.12,289,2.7,31.8,54.1,0,25
43278.5,121.01372,24.77834,0.45,1.4,2.5,14.9,25.6,11,5,2.1,1.92,0.24,2.16,294.3,1,33.2,50.7,0,19
43278.54167,121.01627,24.766508,0.6,8.1,8.5,16.6,18.1,10,3,2.3,1.9,0.14,2.03,278,3.1,32.5,52.4,0,18
43278.54167,120.989823,24.778,0.3,1.4,2.6,4,23.1,5,0,2.8,2.01,0.1,2.12,280,2.6,32.2,52.1,0,19
43278.58333,121.01627,24.766508,0.57,11.7,11.8,23.4,15.3,10,1,2.1,1.89,0.15,2.04,277,2.7,32.9,50.5,0,16
43278.58333,120.989823,24.778,0.27,1,2.5,3.5,22.9,3,1,2.7,2,0.11,2.12,288,2.6,32.4,51.6,0,20
43278.58333,121.01372,24.77834,0.42,1.5,2.2,23.4,19.1,985,896,1.2,1.87,0.2,2.07,277.7,1.1,33.5,47,0,16
43278.66667,121.01627,24.766508,0.7,7.2,9.7,16.9,16.3,10,4,1.9,1.92,0.16,2.08,271,1.7,32.6,51,0,17
43278.66667,120.989823,24.778,0.3,1.2,3.3,4.4,24.4,5,0,2.5,2.05,0.11,2.16,283,2.2,32.4,49.7,0,22
43278.66667,121.01372,24.77834,0.49,1.5,3.9,16.9,22.6,6,5,0.6,1.89,0.21,2.1,275.3,0.9,33.2,49.1,0,17
43278.70833,121.01627,24.766508,0.79,7.8,10.6,18.4,14.7,10,3,2.2,1.91,0.14,2.05,271,1.7,32.2,52.7,0,17
43278.70833,120.989823,24.778,0.31,0.9,3.6,4.5,24.8,9,3,2.2,2.04,0.11,2.15,283,2.2,31.5,53.5,0,22
43278.70833,121.01372,24.77834,0.54,1.5,6.4,18.4,20.2,8,7,1.7,1.88,0.23,2.11,277.6,0.8,32.2,52.9,0,17
43278.75,121.01627,24.766508,0.71,3.7,14,17.6,12.5,17,4,3,1.94,0.14,2.08,258,1.2,30.5,60.5,0,16
43278.75,120.989823,24.778,0.39,0.7,9.5,10.3,24.1,11,4,2.4,2.06,0.11,2.17,275,1.2,30.2,61.1,0,22
43278.75,121.01372,24.77834,0.61,1.3,11.3,17.6,17.4,12,10,0.7,1.87,0.25,2.12,276.4,0.8,30.9,59.1,0,16
43278.79167,121.01627,24.766508,0.62,1,12.8,13.7,11.8,21,4,2.4,1.92,0.13,2.05,202,0.7,28.4,68,0,15
43278.79167,120.989823,24.778,0.48,1.1,19.3,20.4,21.8,15,7,2.9,2.04,0.13,2.17,273,0.6,29.2,63.1,0,22
43278.79167,121.01372,24.77834,0.74,2.3,21.3,13.7,7.2,15,12,1,1.93,0.29,2.22,184.3,0.1,29.8,63.3,0,15
43278.83333,121.01627,24.766508,0.81,3.5,20.4,24,6.6,19,8,1.9,1.95,0.14,2.09,181,0.8,27.3,74.1,0,19
43278.83333,120.989823,24.778,0.61,2.8,21.2,24,12.1,13,10,3.4,2.07,0.18,2.26,298,0.9,28.8,64.9,0,20
43278.83333,121.01372,24.77834,0.98,9.6,30,24,4.2,16,13,0.7,1.94,0.36,2.3,192.2,0.1,28.6,68.5,0,19
43278.875,121.01627,24.766508,0.71,10.3,16.9,27.2,2.6,20,10,1.7,1.99,0.13,2.12,245,0.3,26.2,82.4,0,17
43278.875,120.989823,24.778,0.72,8,40.1,48.1,12.8,16,12,4,2.16,0.15,2.31,209,0.8,28.3,69.6,0,38
43278.875,121.01372,24.77834,0.84,15.7,25,27.2,4.1,20,13,0.1,1.99,0.31,2.3,155.3,0.2,28,73.5,0,17
43278.91667,121.01627,24.766508,0.62,3,9.5,12.5,5.8,18,5,1.7,1.97,0.16,2.13,286,0.2,25.8,84.5,0,18
43278.91667,120.989823,24.778,0.58,12.3,31,43.2,9.3,24,14,3.6,2.07,0.15,2.22,166,1.2,27.3,74.8,0,29
43278.91667,121.01372,24.77834,0.75,8,29.9,12.5,5.3,24,14,1.2,1.94,0.27,2.21,161,0.2,27.8,74.3,0,18
43278.95833,121.01627,24.766508,0.61,1.7,7.2,9,8.6,18,3,2.1,1.94,0.14,2.08,226,0.3,25.5,85.5,0,17
43278.95833,120.989823,24.778,0.6,10.2,24.9,35,11,26,12,3.2,2.03,0.13,2.15,164,1.8,26.6,78.3,0,28
43278.95833,121.01372,24.77834,0.72,4.2,24.7,9,8.2,22,15,1.8,1.94,0.24,2.18,161.7,0.7,27.4,75.9,0,17
43279,121.01627,24.766508,0.53,1.5,5.7,7.1,10.4,18,3,3.2,1.95,0.12,2.06,255,0.3,25.4,83.7,0,15
43279,120.989823,24.778,0.55,6,21.9,27.9,13.7,22,13,2.5,2.01,0.09,2.1,163,1.7,26.4,78.2,0,31
43279,121.01372,24.77834,0.63,1.9,20.1,7.1,10.5,20,13,1,1.92,0.22,2.14,171.3,0.4,27.1,75.8,0,15
43279.04167,121.01627,24.766508,0.5,1.1,5.5,6.6,9.1,18,4,3.5,2.02,0.08,2.11,233,0.2,24.6,86.2,0,16
43279.04167,120.989823,24.778,0.58,6.8,23.4,30.2,13.7,23,13,2.5,2.09,0.1,2.2,165,1.8,26.2,77,0,33
43279.04167,121.01372,24.77834,0.67,2.1,25.4,6.6,7.8,25,16,1,2,0.24,2.24,161.5,0.4,26.6,76.5,0,16
43279.08333,121.01627,24.766508,0.52,1.2,6.4,7.6,9.8,17,3,3.4,1.98,0.13,2.11,230,0.3,24.5,86.2,0,16
43279.08333,120.989823,24.778,0.53,5.5,23.5,29,15.2,27,13,2.1,1.98,0.13,2.12,167,1.8,26.2,76,0,34
43279.08333,121.01372,24.77834,0.65,1,20.5,7.6,13,29,20,1.2,1.98,0.27,2.25,162.7,0.5,26.5,75.8,0,16
43279.125,121.01627,24.766508,0.49,2,7.6,9.6,7.3,19,4,3.3,2,0.1,2.11,268,0.2,24.1,86.3,0,17
43279.125,120.989823,24.778,0.6,6,23.2,29.2,14.5,28,16,2.5,2.01,0.1,2.11,167,1.6,25.8,75.7,0,38
43279.125,121.01372,24.77834,0.64,2.8,29.1,9.6,6.1,28,21,1.2,1.95,0.25,2.2,169.4,0.2,25.9,77.9,0,17
43279.16667,121.01627,24.766508,0.52,7.9,10.8,18.7,4.9,22,10,3,1.96,0.14,2.1,270,0.3,23.8,87.3,0,17
43279.16667,120.989823,24.778,0.48,8.6,25.3,33.9,12.5,28,17,2.6,1.98,0.14,2.13,168,1.4,25.2,78.4,0,42
43279.16667,121.01372,24.77834,0.61,2.6,24.2,18.7,8.2,26,20,1.3,1.93,0.22,2.15,162.5,0.3,25.9,76.5,0,17
43279.20833,121.01627,24.766508,0.51,7.3,9,16.3,4.8,23,11,3.4,1.96,0.13,2.09,276,0.3,23.6,88.1,0,21
43279.20833,120.989823,24.778,0.28,6.1,21,27,15.4,27,15,2.1,1.97,0.14,2.11,168,1,25.1,78.3,0,44
